topic,timestamp,value
"tele/soil/pot0/temp0","2017-06-19 07:50:13.473494","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 07:50:13.610282","1024"
"tele/soil/pot0/temp0","2017-06-19 07:59:59.996465","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:00:00.046259","1024"
"tele/soil/pot0/temp0","2017-06-19 08:09:46.886781","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:09:46.961418","1024"
"tele/soil/pot0/temp0","2017-06-19 08:16:56.489799","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:16:56.597245","1024"
"tele/soil/pot0/temp0","2017-06-19 08:17:36.488483","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:17:36.542642","1024"
"tele/soil/pot0/temp0","2017-06-19 08:27:18.266596","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:27:18.317479","1024"
"tele/soil/pot0/temp0","2017-06-19 08:37:04.131641","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:37:04.176856","1024"
"tele/soil/pot0/temp0","2017-06-19 08:46:50.479399","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:46:50.559050","1024"
"tele/soil/pot0/temp0","2017-06-19 08:56:36.473774","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 08:56:36.536334","1024"
"tele/soil/pot0/temp0","2017-06-19 09:06:22.918897","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:06:22.972544","1024"
"tele/soil/pot0/temp0","2017-06-19 09:16:09.181290","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:16:09.283723","1024"
"tele/soil/pot0/temp0","2017-06-19 09:25:55.416601","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:25:55.465882","1024"
"tele/soil/pot0/temp0","2017-06-19 09:35:41.742515","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:35:41.804781","1024"
"tele/soil/pot0/temp0","2017-06-19 09:45:27.886358","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:45:27.937072","1024"
"tele/soil/pot0/temp0","2017-06-19 09:55:14.365153","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 09:55:14.422971","1024"
"tele/soil/pot0/temp0","2017-06-19 10:05:00.787193","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:05:00.877249","1024"
"tele/soil/pot0/temp0","2017-06-19 10:14:47.253734","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:14:47.358577","1024"
"tele/soil/pot0/temp0","2017-06-19 10:24:33.887414","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:24:34.003226","1024"
"tele/soil/pot0/temp0","2017-06-19 10:34:20.259100","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:34:20.303851","1024"
"tele/soil/pot0/temp0","2017-06-19 10:44:08.522262","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:44:08.569089","1024"
"tele/soil/pot0/temp0","2017-06-19 10:53:51.782670","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 10:53:51.862871","1024"
"tele/soil/pot0/temp0","2017-06-19 11:03:37.806345","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:03:37.893743","1024"
"tele/soil/pot0/temp0","2017-06-19 11:13:24.072016","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:13:24.160440","1024"
"tele/soil/pot0/temp0","2017-06-19 11:23:10.631312","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:23:10.700161","1024"
"tele/soil/pot0/temp0","2017-06-19 11:32:57.148332","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:32:57.228967","1024"
"tele/soil/pot0/temp0","2017-06-19 11:42:43.289389","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:42:43.386881","1024"
"tele/soil/pot0/temp0","2017-06-19 11:52:29.749245","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 11:52:29.805126","1024"
"tele/soil/pot0/temp0","2017-06-19 12:02:16.179044","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:02:16.244937","1024"
"tele/soil/pot0/temp0","2017-06-19 12:12:04.885064","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:12:04.954901","1024"
"tele/soil/pot0/temp0","2017-06-19 12:21:47.857915","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:21:47.904009","1024"
"tele/soil/pot0/temp0","2017-06-19 12:31:33.154062","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:31:33.231862","1024"
"tele/soil/pot0/temp0","2017-06-19 12:41:19.473806","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:41:19.530882","1024"
"tele/soil/pot0/temp0","2017-06-19 12:51:05.435326","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 12:51:05.492263","1024"
"tele/soil/pot0/temp0","2017-06-19 13:00:51.273972","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:00:51.322156","1024"
"tele/soil/pot0/temp0","2017-06-19 13:10:37.757183","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:10:37.806530","1024"
"tele/soil/pot0/temp0","2017-06-19 13:20:23.562648","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:20:23.674290","1024"
"tele/soil/pot0/temp0","2017-06-19 13:30:09.894211","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:30:09.982122","1024"
"tele/soil/pot0/temp0","2017-06-19 13:39:56.163082","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:39:56.213831","1024"
"tele/soil/pot0/temp0","2017-06-19 13:49:42.497443","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:49:42.544241","1024"
"tele/soil/pot0/temp0","2017-06-19 13:59:31.214639","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 13:59:31.300582","1024"
"tele/soil/pot0/temp0","2017-06-19 14:09:15.284736","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:09:15.335634","1024"
"tele/soil/pot0/temp0","2017-06-19 14:19:02.522672","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:19:02.573248","1024"
"tele/soil/pot0/temp0","2017-06-19 14:28:47.535769","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:28:47.582559","1024"
"tele/soil/pot0/temp0","2017-06-19 14:38:33.794060","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:38:33.844113","1024"
"tele/soil/pot0/temp0","2017-06-19 14:48:20.741237","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:48:20.863170","1024"
"tele/soil/pot0/temp0","2017-06-19 14:58:12.622402","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 14:58:12.734321","1024"
"tele/soil/pot0/temp0","2017-06-19 15:07:56.107229","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:07:56.174482","1024"
"tele/soil/pot0/temp0","2017-06-19 15:17:38.695380","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:17:38.746795","1024"
"tele/soil/pot0/temp0","2017-06-19 15:27:26.857396","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:27:26.928060","1024"
"tele/soil/pot0/temp0","2017-06-19 15:37:09.798937","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:37:09.855700","1024"
"tele/soil/pot0/temp0","2017-06-19 15:46:55.842824","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:46:55.925481","1024"
"tele/soil/pot0/temp0","2017-06-19 15:56:41.552984","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 15:56:41.666126","1024"
"tele/soil/pot0/temp0","2017-06-19 16:06:28.446027","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:06:28.524872","1024"
"tele/soil/pot0/temp0","2017-06-19 16:16:16.189481","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:16:16.262219","1024"
"tele/soil/pot0/temp0","2017-06-19 16:25:59.059081","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:25:59.099837","1024"
"tele/soil/pot0/temp0","2017-06-19 16:35:46.321286","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:35:46.372745","1024"
"tele/soil/pot0/temp0","2017-06-19 16:45:31.142164","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:45:31.201979","1024"
"tele/soil/pot0/temp0","2017-06-19 16:55:20.050224","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 16:55:20.105439","1024"
"tele/soil/pot0/temp0","2017-06-19 17:05:03.045714","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:05:03.101559","1024"
"tele/soil/pot0/temp0","2017-06-19 17:14:48.943713","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:14:49.076822","1024"
"tele/soil/pot0/temp0","2017-06-19 17:24:35.592305","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:24:35.694960","1024"
"tele/soil/pot0/temp0","2017-06-19 17:34:22.231784","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:34:22.279584","1024"
"tele/soil/pot0/temp0","2017-06-19 17:44:08.988484","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:44:09.048429","1024"
"tele/soil/pot0/temp0","2017-06-19 17:53:57.585446","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 17:53:57.636071","1024"
"tele/soil/pot0/temp0","2017-06-19 18:03:43.834804","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:03:43.895482","1024"
"tele/soil/pot0/temp0","2017-06-19 18:13:30.058687","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:13:30.130685","1024"
"tele/soil/pot0/temp0","2017-06-19 18:23:11.905206","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:23:11.967848","1024"
"tele/soil/pot0/temp0","2017-06-19 18:32:57.540225","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:32:57.597015","1024"
"tele/soil/pot0/temp0","2017-06-19 18:42:43.760589","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:42:43.824004","1024"
"tele/soil/pot0/temp0","2017-06-19 18:52:30.206065","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 18:52:30.260496","1024"
"tele/soil/pot0/temp0","2017-06-19 19:02:19.254348","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:02:19.307809","1024"
"tele/soil/pot0/temp0","2017-06-19 19:12:02.224442","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:12:02.274220","1024"
"tele/soil/pot0/temp0","2017-06-19 19:21:48.211347","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:21:48.263686","1024"
"tele/soil/pot0/temp0","2017-06-19 19:31:34.041525","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:31:34.103928","1024"
"tele/soil/pot0/temp0","2017-06-19 19:41:20.440273","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:41:20.496938","1024"
"tele/soil/pot0/temp0","2017-06-19 19:51:06.445279","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 19:51:06.534630","1024"
"tele/soil/pot0/temp0","2017-06-19 20:00:52.463460","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:00:52.535065","1024"
"tele/soil/pot0/temp0","2017-06-19 20:10:38.600756","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:10:38.714464","1024"
"tele/soil/pot0/temp0","2017-06-19 20:20:29.452474","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:20:29.502698","1024"
"tele/soil/pot0/temp0","2017-06-19 20:30:11.042795","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:30:11.108741","1024"
"tele/soil/pot0/temp0","2017-06-19 20:39:57.734137","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:39:57.783507","1024"
"tele/soil/pot0/temp0","2017-06-19 20:49:44.103555","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:49:44.185903","1024"
"tele/soil/pot0/temp0","2017-06-19 20:59:29.924148","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 20:59:29.974264","1024"
"tele/soil/pot0/temp0","2017-06-19 21:09:16.777817","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:09:16.985185","1024"
"tele/soil/pot0/temp0","2017-06-19 21:19:04.466117","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:19:04.552506","1024"
"tele/soil/pot0/temp0","2017-06-19 21:28:47.859037","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:28:47.907823","1024"
"tele/soil/pot0/temp0","2017-06-19 21:34:56.659506","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:34:56.741163","1024"
"tele/soil/pot0/temp0","2017-06-19 21:44:40.436344","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:44:40.483236","1024"
"tele/soil/pot0/temp0","2017-06-19 21:54:27.007543","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 21:54:27.081683","1024"
"tele/soil/pot0/temp0","2017-06-19 22:04:16.558393","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:04:16.604694","1024"
"tele/soil/pot0/temp0","2017-06-19 22:13:58.760425","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:13:58.816544","1024"
"tele/soil/pot0/temp0","2017-06-19 22:23:45.122912","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:23:45.176989","1024"
"tele/soil/pot0/temp0","2017-06-19 22:33:31.275575","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:33:31.335539","1024"
"tele/soil/pot0/temp0","2017-06-19 22:43:17.367991","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:43:17.414682","1024"
"tele/soil/pot0/temp0","2017-06-19 22:53:03.821006","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 22:53:03.872213","1024"
"tele/soil/pot0/temp0","2017-06-19 23:02:52.114521","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:02:52.206480","1024"
"tele/soil/pot0/temp0","2017-06-19 23:12:35.793671","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:12:35.896419","1024"
"tele/soil/pot0/temp0","2017-06-19 23:22:21.447555","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:22:21.544188","1024"
"tele/soil/pot0/temp0","2017-06-19 23:23:34.538599","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:23:34.590772","1024"
"tele/soil/pot0/temp0","2017-06-19 23:23:54.289220","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:23:54.354520","5"
"tele/soil/pot0/temp0","2017-06-19 23:24:14.167167","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:24:14.215323","800"
"tele/soil/pot0/temp0","2017-06-19 23:24:29.110808","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:24:29.168214","696"
"tele/soil/pot0/temp0","2017-06-19 23:24:41.699544","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:24:41.788138","712"
"tele/soil/pot0/temp0","2017-06-19 23:25:10.190030","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:25:10.244253","600"
"tele/soil/pot0/temp0","2017-06-19 23:25:36.308860","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:25:36.363291","537"
"tele/soil/pot0/temp0","2017-06-19 23:35:20.698683","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:35:20.787103","415"
"tele/soil/pot0/temp0","2017-06-19 23:45:01.401336","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:45:01.493434","380"
"tele/soil/pot0/temp0","2017-06-19 23:48:19.851227","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:48:19.903611","374"
"tele/soil/pot0/temp0","2017-06-19 23:49:08.082219","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:49:08.132509","230"
"tele/soil/pot0/temp0","2017-06-19 23:50:00.708022","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:50:00.770972","936"
"tele/soil/pot0/temp0","2017-06-19 23:50:23.683488","-127.00"
"tele/soil/pot0/moisture0","2017-06-19 23:50:23.772556","976"
"tele/soil/pot0/temp0","2017-06-20 00:00:04.826634","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:00:04.874533","989"
"tele/soil/pot0/temp0","2017-06-20 00:09:52.655926","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:09:52.736950","968"
"tele/soil/pot0/temp0","2017-06-20 00:19:36.544969","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:19:36.732421","950"
"tele/soil/pot0/temp0","2017-06-20 00:29:22.698668","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:29:22.764743","928"
"tele/soil/pot0/temp0","2017-06-20 00:39:08.224620","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:39:08.300484","891"
"tele/soil/pot0/temp0","2017-06-20 00:48:55.888507","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:48:55.937880","848"
"tele/soil/pot0/temp0","2017-06-20 00:58:39.161277","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 00:58:39.220725","807"
"tele/soil/pot0/temp0","2017-06-20 01:08:25.679817","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:08:25.734460","778"
"tele/soil/pot0/temp0","2017-06-20 01:18:12.433279","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:18:12.485715","753"
"tele/soil/pot0/temp0","2017-06-20 01:27:59.194994","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:27:59.239005","722"
"tele/soil/pot0/temp0","2017-06-20 01:37:48.098636","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:37:48.177214","707"
"tele/soil/pot0/temp0","2017-06-20 01:47:31.165448","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:47:31.238749","694"
"tele/soil/pot0/temp0","2017-06-20 01:57:18.015964","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 01:57:18.069917","684"
"tele/soil/pot0/temp0","2017-06-20 02:07:04.554669","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:07:04.619402","679"
"tele/soil/pot0/temp0","2017-06-20 02:16:51.432537","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:16:51.538469","671"
"tele/soil/pot0/temp0","2017-06-20 02:26:37.761608","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:26:37.833106","659"
"tele/soil/pot0/temp0","2017-06-20 02:36:24.351522","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:36:24.457741","647"
"tele/soil/pot0/temp0","2017-06-20 02:46:11.808915","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:46:11.902180","631"
"tele/soil/pot0/temp0","2017-06-20 02:55:56.281949","-127.00"
"tele/soil/pot0/moisture0","2017-06-20 02:55:56.336692","626"
"tele/soil/pot0/temp0","2017-06-20 03:05:43.563704","-127.00"
