timestamp,value,topic,mV
2017-05-21T18:08:35Z,328,tele/esp/soil,0.984
2017-05-21T18:09:35Z,329,tele/esp/soil,0.987
2017-05-21T18:10:35Z,329,tele/esp/soil,0.987
2017-05-21T18:11:35Z,328,tele/esp/soil,0.984
2017-05-21T18:12:35Z,330,tele/esp/soil,0.99
2017-05-21T18:13:35Z,328,tele/esp/soil,0.984
2017-05-21T18:14:35Z,327,tele/esp/soil,0.981
2017-05-21T18:15:35Z,328,tele/esp/soil,0.984
2017-05-21T18:16:35Z,327,tele/esp/soil,0.981
2017-05-21T18:17:35Z,328,tele/esp/soil,0.984
2017-05-21T18:18:35Z,328,tele/esp/soil,0.984
2017-05-21T18:19:35Z,330,tele/esp/soil,0.99
2017-05-21T18:20:35Z,328,tele/esp/soil,0.984
2017-05-21T18:21:35Z,329,tele/esp/soil,0.987
2017-05-21T18:22:35Z,330,tele/esp/soil,0.99
2017-05-21T18:23:35Z,329,tele/esp/soil,0.987
2017-05-21T18:24:35Z,328,tele/esp/soil,0.984
2017-05-21T18:25:35Z,327,tele/esp/soil,0.981
2017-05-21T18:26:35Z,329,tele/esp/soil,0.987
2017-05-21T18:27:35Z,326,tele/esp/soil,0.978
2017-05-21T18:28:35Z,325,tele/esp/soil,0.975
2017-05-21T18:29:35Z,329,tele/esp/soil,0.987
2017-05-21T18:30:35Z,328,tele/esp/soil,0.984
2017-05-21T18:31:35Z,348,tele/esp/soil,1.044
2017-05-21T18:32:35Z,350,tele/esp/soil,1.05
2017-05-21T18:33:35Z,351,tele/esp/soil,1.053
2017-05-21T18:34:35Z,351,tele/esp/soil,1.053
2017-05-21T18:35:35Z,351,tele/esp/soil,1.053
2017-05-21T18:36:36Z,351,tele/esp/soil,1.053
2017-05-21T18:37:36Z,353,tele/esp/soil,1.059
2017-05-21T18:38:35Z,356,tele/esp/soil,1.068
2017-05-21T18:39:36Z,357,tele/esp/soil,1.071
2017-05-21T18:40:35Z,357,tele/esp/soil,1.071
2017-05-21T18:41:36Z,360,tele/esp/soil,1.08
2017-05-21T18:42:36Z,356,tele/esp/soil,1.068
2017-05-21T18:43:36Z,360,tele/esp/soil,1.08
2017-05-21T18:44:36Z,357,tele/esp/soil,1.071
2017-05-21T18:45:36Z,357,tele/esp/soil,1.071
2017-05-21T18:46:36Z,358,tele/esp/soil,1.074
2017-05-21T18:47:36Z,358,tele/esp/soil,1.074
